date,team1,score1,team2,score2,forfeit,extra_innings
2026-10-02,North County,,Saxony Lutheran with St. Vincent,,False,False
2026-10-02,Ladue Horton Watkins,,St. Charles West with St. Charles,,False,False
2026-10-02,Timberland,,St. Dominic,,False,False
2026-10-02,Westran,,Tuscumbia,,False,False
2026-10-02,Pattonville,,Ursuline Academy,,False,False
2026-10-02,Climax Springs,,Walnut Grove,,False,False
2026-10-02,Lutheran South,,Webster Groves,,False,False
2026-10-02,Capital City,,Willard,,False,False
2026-10-02,Lincoln College Prep,,Winnetonka,,False,False
2026-10-03,Capital City,,Aurora,,False,False
2026-10-03,Capital City,,Francis Howell,,False,False
2026-10-03,St. James,,Hermann with New Haven,,False,False
2026-10-03,Mark Twain,,Hermann with New Haven,,False,False
2026-10-03,Parkway Central,,Kickapoo,,False,False
2026-10-03,Park Hill South,,Kickapoo,,False,False
2026-10-03,Lee's Summit North,,Kickapoo,,False,False
2026-10-03,Cameron,,Lexington,,False,False
2026-10-03,Cameron,,Marshall,,False,False
2026-10-03,Lexington,,Marshall,,False,False
2026-10-03,Westran,,Moberly,,False,False
2026-10-03,Staley,,Rock Bridge,,False,False
2026-10-03,Branson,,Rolla,,False,False
2026-10-03,Republic,,Rolla,,False,False
2026-10-03,Marceline,,Westran,,False,False
2026-10-05,Trenton,,Albany,,False,False
2026-10-05,Logan-Rogersville,,Aurora,,False,False
2026-10-05,King City with Pattonsburg,,Benton,,False,False
2026-10-05,Chillicothe,,Bishop LeBlond,,False,False
2026-10-05,McDonald County,,Bolivar,,False,False
2026-10-05,Lutheran St. Charles with Veritas Christian Academy,,Bowling Green,,False,False
2026-10-05,Nixa,,Branson,,False,False
2026-10-05,Jamestown,,California,,False,False
2026-10-05,Richmond,,Cameron,,False,False
2026-10-05,Helias Catholic,,Capital City,,False,False
2026-10-05,Aurora,,Cassville,,False,False
2026-10-05,Liberty,,Central (St. Joseph),,False,False
2026-10-05,Wheatland,,Climax Springs,,False,False
2026-10-05,Montgomery County,,Community,,False,False
2026-10-05,Waynesville,,Crocker,,False,False
2026-10-05,Owensville,,Cuba,,False,False
2026-10-05,Eldon,,Dixon,,False,False
2026-10-05,Vienna,,Eugene,,False,False
2026-10-05,Francis Howell Central,,Francis Howell,,False,False
2026-10-05,Notre Dame (Cape Girardeau),,Fredericktown,,False,False
2026-10-05,Winfield,,Ft. Zumwalt East,,False,False
2026-10-05,Washington,,Ft. Zumwalt South,,False,False
2026-10-05,South Callaway,,Fulton,,False,False
2026-10-05,East Buchanan,,Gallatin,,False,False
2026-10-05,Hartville,,Glendale,,False,False
2026-10-05,Raytown,,Grain Valley,,False,False
2026-10-05,Truman,,Grandview,,False,False
2026-10-05,Weaubleau,,Halfway,,False,False
2026-10-05,Fatima,,Hallsville with Christian Fellowship Sr.,,False,False
2026-10-05,Clayton,,Hancock,,False,False
2026-10-05,Paris,,Harrisburg,,False,False
2026-10-05,Ursuline Academy,,Hazelwood West,,False,False
2026-10-05,Blair Oaks,,Hickman,,False,False
2026-10-05,Windsor (Imperial),,Hillsboro,,False,False
2026-10-05,Pattonville,,Holt,,False,False
2026-10-05,Union,,Incarnate Word Academy,,False,False
2026-10-05,Doniphan,,Jackson,,False,False
2026-10-05,DeKalb,,King City with Pattonsburg,,False,False
2026-10-05,Northeast (Cairo),,La Plata,,False,False
2026-10-05,Park Hill South,,Lee's Summit North,,False,False
2026-10-05,Francis Howell North,,Liberty (Wentzville),,False,False
2026-10-05,Blue Springs South,,Liberty North,,False,False
2026-10-05,Cor Jesu Academy,,Lindbergh,,False,False
2026-10-05,Pacific,,Linn,,False,False
2026-10-05,Tuscumbia,,Macks Creek,,False,False
2026-10-05,Brookfield,,Macon,,False,False
2026-10-05,Van-Far with Community,,Marion County,,False,False
2026-10-05,Westran,,Mark Twain,,False,False
2026-10-05,Elsberry,,Marquette,,False,False
2026-10-05,Clinton,,Marshall,,False,False
2026-10-05,North Harrison,,"Mercer with Cainsville, Ridgeway",,False,False
2026-10-05,Webb City,,Monett,,False,False
2026-10-05,Silex,,Monroe City,,False,False
2026-10-05,East Carter,,Naylor,,False,False
2026-10-05,Central (Cape Girardeau),,Neelyville,,False,False
2026-10-05,Carl Junction,,Neosho,,False,False
2026-10-05,Lone Jack,,Nevada,,False,False
2026-10-05,Boonville,,New Franklin,,False,False
2026-10-05,St. James,,Newburg,,False,False
2026-10-05,Centralia,,North Callaway,,False,False
2026-10-05,Sikeston,,North County,,False,False
2026-10-05,Park Hill,,North Kansas City,,False,False
2026-10-05,Maryville,,North Platte,,False,False
2026-10-05,Warrenton,,North Point,,False,False
2026-10-05,Atlanta,,North Shelby,,False,False
2026-10-05,Eureka,,Northwest (Cedar Hill),,False,False
2026-10-05,Mehlville,,Notre Dame (St. Louis),,False,False
2026-10-05,Knob Noster,,Notre Dame de Sion,,False,False
2026-10-05,Festus,,Oakville,,False,False
2026-10-05,Westminster Christian Academy,,Orchard Farm,,False,False
2026-10-05,Canton,,Palmyra,,False,False
2026-10-05,DeSoto with Kingston,,Parkway South,,False,False
2026-10-05,Ft. Zumwalt West,,Parkway West,,False,False
2026-10-05,Fayette,,Pilot Grove,,False,False
2026-10-05,Belton,,Platte County,,False,False
2026-10-05,Stewartsville with Osborn,,Plattsburg,,False,False
2026-10-05,Norborne with Hardin-Central,,Polo,,False,False
2026-10-05,West Plains,,Poplar Bluff,,False,False
2026-10-05,Kirksville,,Princeton with Mercer,,False,False
2026-10-05,Highland,,Putnam County,,False,False
2026-10-05,Blue Springs,,Raymore-Peculiar,,False,False
2026-10-05,Osage,,Richland,,False,False
2026-10-05,Seckman,,Rockwood Summit,,False,False
2026-10-05,Raytown South,,Ruskin,,False,False
2026-10-05,Iberia,,Russellville,,False,False
2026-10-05,Milan,,Scotland County,,False,False
2026-10-05,Carrollton,,Slater,,False,False
2026-10-05,Jefferson City,,Smith-Cotton,,False,False
2026-10-05,Kearney,,Smithville,,False,False
2026-10-05,Penney,,St. Elizabeth,,False,False
2026-10-05,St. Pius X (Festus),,St. Charles West with St. Charles,,False,False
2026-10-05,Hazelwood West,,St. Joseph's Academy,,False,False
2026-10-05,Excelsior Springs,,St. Pius X (Kansas City),,False,False
2026-10-05,Lee's Summit West,,Staley,,False,False
2026-10-05,Laquey,,Westran,,False,False
2026-10-05,Kelly,,St. Clair,,False,False
2026-10-05,Lutheran South,,Valley Park,,False,False
2026-10-05,Parkview,,Walnut Grove,,False,False
2026-10-05,Worth County,,Wellsville-Middletown,,False,False
2026-10-05,Vienna,,West Platte,,False,False
2026-10-05,Oak Park,,Winnetonka,,False,False
2026-10-05,Northeast Nodaway,,Worth County,,False,False
2026-10-05,Hermann with New Haven,,Wright City,,False,False
2026-10-06,Maysville,,Albany,,False,False
2026-10-06,Valley Park,,Bayless,,False,False
2026-10-06,Madison,,Bevier,,False,False
2026-10-06,Northeast Nodaway,,Bishop LeBlond,,False,False
2026-10-06,Southern Boone,,Blair Oaks,,False,False
2026-10-06,Staley,,Blue Springs,,False,False
2026-10-06,Montrose with Appleton City,,Bolivar,,False,False
2026-10-06,Fulton,,Boonville,,False,False
2026-10-06,Clopton with Elsberry,,Bowling Green,,False,False
2026-10-06,Norborne with Hardin-Central,,"Brunswick with Keytesville, Northwestern (Mendon)",,False,False
2026-10-06,Atlanta,,Bucklin with Macon County,,False,False
2026-10-06,Rolla,,Camdenton,,False,False
2026-10-06,Lexington,,Carrollton,,False,False
2026-10-06,Hallsville with Christian Fellowship Sr.,,Centralia,,False,False
2026-10-06,Farmington,,Chaffee,,False,False
2026-10-06,St. Elizabeth,,Chillicothe,,False,False
2026-10-06,Louisiana,,Community,,False,False
2026-10-06,Maplewood-Richmond Hts. with Brentwood,,Cuba,,False,False
2026-10-06,Crocker,,Dixon,,False,False
2026-10-06,Naylor,,Doniphan,,False,False
2026-10-06,Incarnate Word Academy,,Eureka,,False,False
2026-10-06,Salisbury,,Fayette,,False,False
2026-10-06,Fredericktown,,Festus,,False,False
2026-10-06,Francis Howell Central,,Francis Howell North,,False,False
2026-10-06,King City with Pattonsburg,,Gallatin,,False,False
2026-10-06,Kickapoo,,Glendale,,False,False
2026-10-06,Lee's Summit West,,Grain Valley,,False,False
2026-10-06,Smithville,,Grandview,,False,False
2026-10-06,Princeton with Mercer,,Grundy County with Newtown-Harris,,False,False
2026-10-06,Affton,,Hazelwood West,,False,False
2026-10-06,Hillsboro,,Herculaneum with Crystal City,,False,False
2026-10-06,Westran,,Hermitage,,False,False
2026-10-06,Brashear,,Higbee,,False,False
2026-10-06,South Shelby,,Highland,,False,False
2026-10-06,Branson,,Hillcrest,,False,False
2026-10-06,Fair Play,,Humansville,,False,False
2026-10-06,DeSoto with Kingston,,Jefferson (Festus),,False,False
2026-10-06,Carthage,,Joplin,,False,False
2026-10-06,Excelsior Springs,,Kearney,,False,False
2026-10-06,Hannibal,,Kirksville,,False,False
2026-10-06,Lafayette County,,Knob Noster,,False,False
2026-10-06,Marceline,,Knox County,,False,False
2026-10-06,Westminster Christian Academy,,Lafayette (Wildwood),,False,False
2026-10-06,East Buchanan,,Lathrop,,False,False
2026-10-06,West Platte,,Lawson,,False,False
2026-10-06,Ozark,,Lebanon,,False,False
2026-10-06,Liberty North,,Lee's Summit,,False,False
2026-10-06,Halfway,,Macks Creek,,False,False
2026-10-06,Clark County,,Macon,,False,False
2026-10-06,Logan-Rogersville,,Marshfield,,False,False
2026-10-06,Linn County,,Milan,,False,False
2026-10-06,Cassville,,Monett,,False,False
2026-10-06,Elsberry,,Montgomery County,,False,False
2026-10-06,Republic,,Neosho,,False,False
2026-10-06,McDonald County,,Nevada,,False,False
2026-10-06,Capital City,,New Bloomfield,,False,False
2026-10-06,Jamestown,,New Franklin,,False,False
2026-10-06,Climax Springs,,Newburg,,False,False
2026-10-06,Stewartsville with Osborn,,North Andrew,,False,False
2026-10-06,Mark Twain,,North Callaway,,False,False
2026-10-06,Ruskin,,North Kansas City,,False,False
2026-10-06,Battle,,North Point,,False,False
2026-10-06,Slater,,Northeast (Cairo),,False,False
2026-10-06,Poplar Bluff,,Notre Dame (Cape Girardeau),,False,False
2026-10-06,Central (St. Joseph),,Oak Park,,False,False
2026-10-06,Summit Christian Academy,,Odessa,,False,False
2026-10-06,California,,Osage,,False,False
2026-10-06,Canton,,Paris,,False,False
2026-10-06,Lee's Summit North,,Park Hill,,False,False
2026-10-06,Parkway West,,Parkway Central,,False,False
2026-10-06,Clayton,,Parkway North with Principia,,False,False
2026-10-06,Northwest (Cedar Hill),,Parkway South,,False,False
2026-10-06,Kirkwood,,Pattonville,,False,False
2026-10-06,Mid-Buchanan,,Penney,,False,False
2026-10-06,North Platte,,Plattsburg,,False,False
2026-10-06,Oak Grove,,Pleasant Hill,,False,False
2026-10-06,Gilman City with Tri-County,,Putnam County,,False,False
2026-10-06,Iberia,,Richland,,False,False
2026-10-06,Holden,,Richmond,,False,False
2026-10-06,Ladue Horton Watkins,,Ritenour,,False,False
2026-10-06,Lutheran St. Charles with Veritas Christian Academy,,Rockwood Summit,,False,False
2026-10-06,Eldon,,Russellville,,False,False
2026-10-06,Oakville,,Seckman,,False,False
2026-10-06,Aurora,,Seneca,,False,False
2026-10-06,Wheatland,,Sherwood,,False,False
2026-10-06,East Carter,,Sikeston,,False,False
2026-10-06,Wellsville-Middletown,,Silex,,False,False
2026-10-06,Owensville,,South Callaway,,False,False
2026-10-06,Warrenton,,St. Charles West with St. Charles,,False,False
2026-10-06,Eugene,,Van-Far,,False,False
2026-10-06,St. Clair,,St. Pius X (Festus),,False,False
2026-10-06,St. Michael the Archangel,,St. Teresa's Academy,,False,False
2026-10-06,Benton,,Vienna,,False,False
2026-10-06,St. Joseph's Academy,,Sullivan,,False,False
2026-10-06,Holt,,Timberland,,False,False
2026-10-06,North Harrison,,Trenton,,False,False
2026-10-06,Mehlville,,University City,,False,False
2026-10-06,Wright City,,Van-Far with Community,,False,False
2026-10-06,Clinton,,Warrensburg,,False,False
2026-10-06,Nixa,,Waynesville,,False,False
2026-10-06,Walnut Grove,,Weaubleau,,False,False
2026-10-06,Willard,,Webb City,,False,False
2026-10-06,Fox,,Webster Groves,,False,False
2026-10-06,Schuyler County,,Westran,,False,False
2026-10-06,Ft. Zumwalt North,,Winfield,,False,False
2026-10-06,Raytown South,,Winnetonka,,False,False
2026-10-06,Jefferson (Conception) with South Nodaway,,Worth County,,False,False
2026-10-07,Bayless,,Affton,,False,False
2026-10-07,Park Hill South,,Battle,,False,False
2026-10-07,Fort Osage,,Belton,,False,False
2026-10-07,Raymore-Peculiar,,Blue Springs South,,False,False
2026-10-07,Neosho,,Bolivar,,False,False
2026-10-07,Parkview,,Branson,,False,False
2026-10-07,Hickman,,Camdenton,,False,False
2026-10-07,Lathrop,,Cameron,,False,False
2026-10-07,Saxony Lutheran with St. Vincent,,Central (Cape Girardeau),,False,False
2026-10-07,Monroe City,,Clopton with Elsberry,,False,False
2026-10-07,Webster Groves,,Cor Jesu Academy,,False,False
2026-10-07,Warrensburg,,Excelsior Springs,,False,False
2026-10-07,Helias Catholic,,Fatima,,False,False
2026-10-07,Incarnate Word Academy,,Francis Howell,,False,False
2026-10-07,Lafayette (Wildwood),,Francis Howell North,,False,False
2026-10-07,Chaffee,,Fredericktown,,False,False
2026-10-07,Lutheran St. Charles with Veritas Christian Academy,,Ft. Zumwalt East,,False,False
2026-10-07,Novinger,,Grundy County with Newtown-Harris,,False,False
2026-10-07,Mexico,,Hannibal,,False,False
2026-10-07,Grandview,,Humansville,,False,False
2026-10-07,North County,,Jackson,,False,False
2026-10-07,Aurora,,Lebanon,,False,False
2026-10-07,St. Pius X (Kansas City),,Lexington,,False,False
2026-10-07,Kickapoo,,Logan-Rogersville,,False,False
2026-10-07,Lafayette County,,Lone Jack,,False,False
2026-10-07,Parkway North with Principia,,Lutheran South,,False,False
2026-10-07,Macon,,Marceline,,False,False
2026-10-07,Louisiana,,Mark Twain,,False,False
2026-10-07,Mid-Buchanan,,Maryville,,False,False
2026-10-07,La Plata,,Meadville,,False,False
2026-10-07,Liberty (Wentzville),,North Point,,False,False
2026-10-07,Ladue Horton Watkins,,Orchard Farm,,False,False
2026-10-07,Marshfield,,Ozark,,False,False
2026-10-07,St. Joseph's Academy,,Parkway West,,False,False
2026-10-07,Raytown,,Platte County,,False,False
2026-10-07,Parkway Central,,Rockwood Summit,,False,False
2026-10-07,North Shelby,,Salisbury,,False,False
2026-10-07,Central (St. Joseph),,Savannah,,False,False
2026-10-07,Farmington,,Sikeston,,False,False
2026-10-07,Rock Bridge,,Smith-Cotton,,False,False
2026-10-07,Jefferson City,,Southern Boone,,False,False
2026-10-07,Ritenour,,St. Dominic,,False,False
2026-10-07,Westran,,St. James,,False,False
2026-10-07,Kirkwood,,St. Joseph's Academy,,False,False
2026-10-07,Oak Park,,St. Michael the Archangel,,False,False
2026-10-07,Harrisburg,,Worth County,,False,False
2026-10-07,William Chrisman,,Truman,,False,False
2026-10-07,Oakville,,Ursuline Academy,,False,False
2026-10-07,Hazelwood West,,Valley Park,,False,False
2026-10-07,Washington,,Warrenton,,False,False
2026-10-08,Mehlville,,Affton,,False,False
2026-10-08,Milan,,Albany,,False,False
2026-10-08,Kirksville,,Battle,,False,False
2026-10-08,Raytown,,Belton,,False,False
2026-10-08,Blue Springs South,,Blue Springs,,False,False
2026-10-08,Eldon,,Boonville,,False,False
2026-10-08,North Callaway,,Bowling Green,,False,False
2026-10-08,Salisbury,,Brookfield,,False,False
2026-10-08,Trenton,,Cameron,,False,False
2026-10-08,Scotland County,,Canton,,False,False
2026-10-08,West Plains,,Carl Junction,,False,False
2026-10-08,Willard,,Carthage,,False,False
2026-10-08,Naylor,,Central (Cape Girardeau),,False,False
2026-10-08,North Kansas City,,Central (St. Joseph),,False,False
2026-10-08,Palmyra,,Centralia,,False,False
2026-10-08,Blair Oaks,,Chillicothe,,False,False
2026-10-08,South Shelby,,Clark County,,False,False
2026-10-08,Hazelwood West,,Clayton,,False,False
2026-10-08,Odessa,,Clinton,,False,False
2026-10-08,Holt,,Cor Jesu Academy,,False,False
2026-10-08,St. James,,Crocker,,False,False
2026-10-08,Hermitage,,Dadeville with Everton,,False,False
2026-10-08,North Andrew,,DeKalb,,False,False
2026-10-08,North Platte,,East Buchanan,,False,False
2026-10-08,St. Clair,,East Carter,,False,False
2026-10-08,Fatima,,Eugene,,False,False
2026-10-08,Lafayette (Wildwood),,Eureka,,False,False
2026-10-08,Perryville,,Farmington,,False,False
2026-10-08,Glasgow,,Fayette,,False,False
2026-10-08,Truman,,Fort Osage,,False,False
2026-10-08,Parkway Central,,Fox,,False,False
2026-10-08,Francis Howell North,,Ft. Zumwalt North,,False,False
2026-10-08,Warrenton,,Ft. Zumwalt South,,False,False
2026-10-08,Princeton with Mercer,,Gallatin,,False,False
2026-10-08,Meadville,,Gilman City with Tri-County,,False,False
2026-10-08,Novinger,,Green City,,False,False
2026-10-08,California,,Hallsville with Christian Fellowship Sr.,,False,False
2026-10-08,Metro,,Hancock,,False,False
2026-10-08,Northeast (Cairo),,Harrisburg,,False,False
2026-10-08,Father Tolton with Calvary Lutheran,,Helias Catholic,,False,False
2026-10-08,Carrollton,,Holden,,False,False
2026-10-08,Macks Creek,,Humansville,,False,False
2026-10-08,South Callaway,,Jamestown,,False,False
2026-10-08,North County,,Jefferson (Festus),,False,False
2026-10-08,Neosho,,Joplin,,False,False
2026-10-08,Grandview,,Kearney,,False,False
2026-10-08,Lebanon,,Kickapoo,,False,False
2026-10-08,University City,,Kirkwood,,False,False
2026-10-08,Richmond,,Knob Noster,,False,False
2026-10-08,Highland,,Knox County,,False,False
2026-10-08,Atlanta,,La Plata,,False,False
2026-10-08,Parkway North with Principia,,Ladue Horton Watkins,,False,False
2026-10-08,Lexington,,Lafayette County,,False,False
2026-10-08,Climax Springs,,Laquey,,False,False
2026-10-08,Penney,,Lathrop,,False,False
2026-10-08,Mid-Buchanan,,Lawson,,False,False
2026-10-08,Liberty,,Lee's Summit North,,False,False
2026-10-08,Liberty North,,Lee's Summit West,,False,False
2026-10-08,Van-Far,,Linn,,False,False
2026-10-08,St. Joseph's Academy,,Lutheran South,,False,False
2026-10-08,St. Charles West with St. Charles,,Lutheran St. Charles with Veritas Christian Academy,,False,False
2026-10-08,Community,,Marion County,,False,False
2026-10-08,Worth County,,Maysville,,False,False
2026-10-08,Monett,,McDonald County,,False,False
2026-10-08,Linn County,,"Mercer with Cainsville, Ridgeway",,False,False
2026-10-08,Fulton,,Mexico,,False,False
2026-10-08,Marshall,,Moberly,,False,False
2026-10-08,Owensville,,Montgomery County,,False,False
2026-10-08,Seneca,,Nevada,,False,False
2026-10-08,Hermann with New Haven,,New Bloomfield,,False,False
2026-10-08,Ozark,,Nixa,,False,False
2026-10-08,Putnam County,,North Harrison,,False,False
2026-10-08,King City with Pattonsburg,,Northeast Nodaway,,False,False
2026-10-08,Lindbergh,,Northwest (Cedar Hill),,False,False
2026-10-08,Kelly,,Notre Dame (Cape Girardeau),,False,False
2026-10-08,Maplewood-Richmond Hts. with Brentwood,,Notre Dame (St. Louis),,False,False
2026-10-08,Harrisonville,,Oak Grove,,False,False
2026-10-08,Webster Groves,,Oakville,,False,False
2026-10-08,Valley Park,,Pacific,,False,False
2026-10-08,Oak Park,,Park Hill South,,False,False
2026-10-08,Seckman,,Parkway South,,False,False
2026-10-08,Ritenour,,Pattonville,,False,False
2026-10-08,Chaffee,,Poplar Bluff,,False,False
2026-10-08,Lee's Summit,,Raymore-Peculiar,,False,False
2026-10-08,Sherwood,,Raytown South,,False,False
2026-10-08,Webb City,,Republic,,False,False
2026-10-08,Newburg,,Richland,,False,False
2026-10-08,Ft. Zumwalt West,,Rock Bridge,,False,False
2026-10-08,Winnetonka,,Ruskin,,False,False
2026-10-08,Pilot Grove,,Russellville,,False,False
2026-10-08,DeSoto with Kingston,,Saxony Lutheran with St. Vincent,,False,False
2026-10-08,"Brunswick with Keytesville, Northwestern (Mendon)",,Slater,,False,False
2026-10-08,Platte County,,Smithville,,False,False
2026-10-08,Savannah,,St. Elizabeth,,False,False
2026-10-08,Osage,,Southern Boone,,False,False
2026-10-08,Cuba,,St. Clair,,False,False
2026-10-08,St. Pius X (Festus),,St. Joseph's Academy,,False,False
2026-10-08,St. Pius X (Kansas City),,St. Teresa's Academy,,False,False
2026-10-08,Park Hill,,Staley,,False,False
2026-10-08,Vienna,,Stewartsville with Osborn,,False,False
2026-10-08,Paris,,Worth County,,False,False
2026-10-08,Francis Howell Central,,Timberland,,False,False
2026-10-08,Clopton with Elsberry,,Van-Far with Community,,False,False
2026-10-08,Iberia,,Vienna,,False,False
2026-10-08,Pleasant Hill,,Warrensburg,,False,False
2026-10-08,Sullivan,,Washington,,False,False
2026-10-08,Glendale,,Waynesville,,False,False
2026-10-08,Plattsburg,,West Platte,,False,False
2026-10-08,Incarnate Word Academy,,Westminster Christian Academy,,False,False
2026-10-08,New Franklin,,Westran,,False,False
2026-10-08,Tuscumbia,,Wheatland,,False,False
2026-10-08,Grain Valley,,William Chrisman,,False,False
2026-10-08,Festus,,Windsor (Imperial),,False,False
2026-10-08,Elsberry,,Winfield,,False,False
2026-10-08,Wellsville-Middletown,,Wright City,,False,False
2026-10-09,Marion County,,Brashear,,False,False
2026-10-09,Weaubleau,,Climax Springs,,False,False
2026-10-09,East Carter,,Dadeville with Everton,,False,False
2026-10-09,Hartville,,Doniphan,,False,False
2026-10-09,Kelly,,Doniphan,,False,False
2026-10-09,Ft. Zumwalt East,,Francis Howell North,,False,False
2026-10-09,Francis Howell Central,,Ft. Zumwalt West,,False,False
2026-10-09,Montrose with Appleton City,,Halfway,,False,False
2026-10-09,Richland,,Hermitage,,False,False
2026-10-09,Webster Groves,,Hickman,,False,False
2026-10-09,Bevier,,Higbee,,False,False
2026-10-09,St. Dominic,,Holt,,False,False
2026-10-09,Cor Jesu Academy,,Jackson,,False,False
2026-10-09,Lafayette (Wildwood),,Jackson,,False,False
2026-10-09,Hartville,,Kelly,,False,False
2026-10-09,Poplar Bluff,,Northwest (Cedar Hill),,False,False
2026-10-09,East Carter,,Norwood,,False,False
2026-10-09,Dadeville with Everton,,Norwood,,False,False
2026-10-09,Community,,Paris,,False,False
2026-10-09,Notre Dame (St. Louis),,Parkway North with Principia,,False,False
2026-10-09,Green City,,Schuyler County,,False,False
2026-10-09,Hancock,,STEAM Academy,,False,False
2026-10-09,Bowling Green,,Troy Buchanan,,False,False
2026-10-09,Macks Creek,,Walnut Grove,,False,False
2026-10-09,Helias Catholic,,Washington,,False,False
2026-10-09,Ursuline Academy,,Westminster Christian Academy,,False,False
2026-10-09,Dixon,,Wheatland,,False,False
2026-10-10,Cassville,,Bolivar,,False,False
2026-10-10,Joplin,,Bolivar,,False,False
2026-10-10,Joplin,,Cassville,,False,False
2026-10-10,Francis Howell,,Hannibal,,False,False
2026-10-10,Southern Boone,,Harrisburg,,False,False
2026-10-10,Webster Groves,,Harrisburg,,False,False
2026-10-10,Worth County,,Higbee,,False,False
2026-10-10,Liberty North,,Kickapoo,,False,False
2026-10-10,Rock Bridge,,Kickapoo,,False,False
2026-10-10,Rock Bridge,,Liberty North,,False,False
2026-10-10,Waynesville,,Logan-Rogersville,,False,False
2026-10-10,Branson,,Logan-Rogersville,,False,False
2026-10-10,Mark Twain,,Perryville,,False,False
2026-10-10,Webster Groves,,Southern Boone,,False,False
2026-10-10,Elsberry,,Troy Buchanan,,False,False
2026-10-10,Silex,,Troy Buchanan,,False,False
2026-10-10,Branson,,Waynesville,,False,False
2026-10-12,Herculaneum with Crystal City,,Affton,,False,False
2026-10-12,"Brunswick with Keytesville, Northwestern (Mendon)",,Atlanta,,False,False
2026-10-12,Jefferson City,,Blair Oaks,,False,False
2026-10-12,Waynesville,,Bolivar,,False,False
2026-10-12,Centralia,,Bowling Green,,False,False
2026-10-12,Willard,,Branson,,False,False
2026-10-12,New Bloomfield,,California,,False,False
2026-10-12,Smith-Cotton,,Camdenton,,False,False
2026-10-12,Penney,,Cameron,,False,False
2026-10-12,Aurora,,Carl Junction,,False,False
2026-10-12,Neosho,,Cassville,,False,False
2026-10-12,St. Pius X (Festus),,Central (Cape Girardeau),,False,False
2026-10-12,Trenton,,Chillicothe,,False,False
2026-10-12,Nevada,,Clinton,,False,False
2026-10-12,Maryville,,DeKalb,,False,False
2026-10-12,Albany,,East Buchanan,,False,False
2026-10-12,Battle,,Eldon,,False,False
2026-10-12,Tuscumbia,,Eugene,,False,False
2026-10-12,Macon,,Father Tolton with Calvary Lutheran,,False,False
2026-10-12,Montgomery County,,Fatima,,False,False
2026-10-12,Fox,,Festus,,False,False
2026-10-12,Parkway West,,Francis Howell North,,False,False
2026-10-12,Neelyville,,Fredericktown,,False,False
2026-10-12,Ft. Zumwalt South,,Ft. Zumwalt West,,False,False
2026-10-12,Gallatin,,Gilman City with Tri-County,,False,False
2026-10-12,Westran,,Glasgow,,False,False
2026-10-12,Norwood,,Halfway,,False,False
2026-10-12,South Callaway,,Hallsville with Christian Fellowship Sr.,,False,False
2026-10-12,Palmyra,,Hannibal,,False,False
2026-10-12,North Shelby,,Harrisburg,,False,False
2026-10-12,Logan-Rogersville,,Hartville,,False,False
2026-10-12,St. Joseph's Academy,,Holt,,False,False
2026-10-12,Laquey,,Iberia,,False,False
2026-10-12,Valley Park,,Incarnate Word Academy,,False,False
2026-10-12,St. Elizabeth,,Jefferson (Conception) with South Nodaway,,False,False
2026-10-12,Staley,,Kearney,,False,False
2026-10-12,Jackson,,Kelly,,False,False
2026-10-12,Seckman,,Kirkwood,,False,False
2026-10-12,Parkway Central,,Ladue Horton Watkins,,False,False
2026-10-12,Platte County,,Liberty North,,False,False
2026-10-12,Hillsboro,,Lindbergh,,False,False
2026-10-12,Warrensburg,,Lone Jack,,False,False
2026-10-12,Canton,,Louisiana,,False,False
2026-10-12,Notre Dame (St. Louis),,Lutheran South,,False,False
2026-10-12,Winfield,,Lutheran St. Charles with Veritas Christian Academy,,False,False
2026-10-12,Hazelwood West,,Maplewood-Richmond Hts. with Brentwood,,False,False
2026-10-12,Moberly,,Mark Twain,,False,False
2026-10-12,Green City,,"Mercer with Cainsville, Ridgeway",,False,False
2026-10-12,King City with Pattonsburg,,Mid-Buchanan,,False,False
2026-10-12,Worth County,,Mid-Buchanan,,False,False
2026-10-12,Hillcrest,,Monett,,False,False
2026-10-12,Cuba,,Newburg,,False,False
2026-10-12,West Platte,,North Andrew,,False,False
2026-10-12,Truman,,North Kansas City,,False,False
2026-10-12,St. Joseph's Academy,,Oakville,,False,False
2026-10-12,Rockwood Summit,,Pacific,,False,False
2026-10-12,Savannah,,Park Hill,,False,False
2026-10-12,Hermitage,,Parkview,,False,False
2026-10-12,Slater,,Pilot Grove,,False,False
2026-10-12,Saxony Lutheran with St. Vincent,,Poplar Bluff,,False,False
2026-10-12,Maysville,,Princeton with Mercer,,False,False
2026-10-12,Benton,,Richmond,,False,False
2026-10-12,Monroe City,,Salisbury,,False,False
2026-10-12,Highland,,Scotland County,,False,False
2026-10-12,Joplin,,Seneca,,False,False
2026-10-12,Northeast (Cairo),,South Shelby,,False,False
2026-10-12,Pattonville,,St. Charles West with St. Charles,,False,False
2026-10-12,Crocker,,Van-Far,,False,False
2026-10-12,Lexington,,St. Michael the Archangel,,False,False
2026-10-12,Capital City,,Union,,False,False
2026-10-12,Westran,,Vienna,,False,False
2026-10-12,Ft. Zumwalt North,,Warrenton,,False,False
2026-10-12,Liberty (Wentzville),,Washington,,False,False
2026-10-12,Parkway North with Principia,,Webster Groves,,False,False
2026-10-12,Lebanon,,West Plains,,False,False
2026-10-12,Marquette,,Westminster Christian Academy,,False,False
2026-10-12,Richland,,Wheatland,,False,False
